name	category	subtype	designation	status	ownership	governance	partner_agencies	coordination	description	location	acres	counties	municipality	township	gps_lat	gps_lon	plus_code	features	notes	url_primary	urls	parent_site_id	created_at	updated_at
Herb Monroe Community Park	Park	Neighborhood Park		Active	Village of Paulding	Village of Paulding			"Herb Monroe Community Park is located at 122 E. Jackson St. in the Village of Paulding. Features Freedom Station, an 11,000 sq. ft. community playground."	"122 E. Jackson St., Paulding, Ohio 45879"		Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR	Playground	Also known as Freedom Station Park.	https://www.villageofpaulding.com/parks-recreation			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Paulding Water Park	Recreation Facility	Swimming Pool		Seasonal	Village of Paulding	Village of Paulding			"Paulding Water Park is an aquatic recreation facility in the Village of Paulding, completed June 2001. Features a zero-entry swimming pool, water slide, baby pool, water features, shade umbrellas, and lounge chairs."	"Village of Paulding, Ohio 45879"		Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR	Swimming Pool; Waterslide; Spray Park	Completed June 2001. May be same facility as Paulding Municipal Pool.	https://www.villageofpaulding.com/pool	https://www.villageofpaulding.com/parks-recreation		2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Paulding Skate Park	Recreation Facility	Skate Park		Active	Village of Paulding	Village of Paulding			Paulding Skate Park opened in October 2005 in the Village of Paulding.	"Village of Paulding, Ohio 45879"		Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR	Skate Park	Opened October 2005.	https://www.villageofpaulding.com/parks-recreation			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Reservoir Park	Park			No Public Entry	Village of Paulding	Village of Paulding			"Reservoir Park is a 67-acre water supply reservoir owned and operated by the Village of Paulding at 901 McDonald Pike. Public access is currently prohibited. Historical recreation included fishing and boating. Future trail connection from Lela McGuire-Jeffery Park planned (Paulding County Trails Project Phase 1, 2027-2028)."	"901 McDonald Pike, Paulding, Ohio 45879"	67	Paulding	Paulding	Jackson	41.137	-84.573	86HQ4CPG+RR		Public access currently prohibited — active water supply infrastructure. Future trail connection planned.	https://www.villageofpaulding.com/parks-recreation			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Payne Community Park	Park	Neighborhood Park		Active	Village of Payne	Village of Payne			"Payne Community Park is a small village park in Payne, Ohio. Features a stocked catch-and-release fishing pond (no license required), a walking path, and playground equipment. Walking path and playground funded via ODNR NatureWorks Grant. Available for organized event rental ($50)."	"Village of Payne, Ohio 45880"		Paulding	Payne	Harrison	41.0794	-84.7269	86HQ37HF+Q6	Pond; Fishing Area; Hiking Trail; Playground; Pavilion	"ODNR NatureWorks Grant funded walking path and playground. Fish from Remlinger Fish Farm, Kalida."	https://www.villageofpayne.com/park/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Oakwood Community Park	Park	Neighborhood Park		Active	Village of Oakwood	Village of Oakwood			"Oakwood Community Park is the central gathering place for the Village of Oakwood in Paulding County. Features playground equipment, sports fields, and picnic areas. The Auglaize River is nearby."	"Village of Oakwood, Ohio 45873"		Paulding	Oakwood	Brown	41.0966	-84.3892	86HQ3JW6+J8	Playground; Athletic Field; Picnic Area	Auglaize Canoe & Kayak (private commercial outfitter) operates adjacent — not a natural areas entity.				2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Latty Town Park	Park	Neighborhood Park		Active	Village of Latty	Village of Latty			"Latty Town Park is a small community park in the Village of Latty, Paulding County, Ohio."	"Village of Latty, Ohio"		Paulding	Latty	Paulding	41.0908	-84.5862	86HQ3CR7+8G		Minimal information available.				2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Forder Bridge Conservation Area	Conservation Area	Restoration Area		Active	Black Swamp Conservancy	Black Swamp Conservancy	ODNR	H2Ohio wetland and stream restoration project	"A 54-acre conservation property along the Maumee River in Paulding County purchased by Black Swamp Conservancy in 2016. Former agricultural land restored to native floodplain habitat. H2Ohio project installed approximately 4 acres of wetland restoration and repaired two on-site streams, preventing approximately 160 lbs phosphorus and 645 lbs nitrogen annually from entering the Maumee River. Walk-in access from designated parking lot. Official Maumee River Water Trail access point at Forder Bridge. No camping, no motor vehicles."	"County Road 73, Forder Bridge, Paulding County, Ohio"	54	Paulding	Crane	Crane	41.2232	-84.6698	86HQ68FJ+73	Habitat Restoration Area; Wetland Restoration; Watercraft Access; Parking Lot	"Distinct parcel from Forrest Woods SNP (PAU-S-002), located just south on County Road 73. BSC's Forder Bridge/Forrest Woods corridor totals ~391 protected acres. Walk-in only; no vehicles. Maumee River Water Trail access point — see PAU-AP-004."	https://blackswamp.org/	https://www.chronolog.io/site/BSC110		2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Thorn Bottom Hunting Preserve	Hunting Area			Seasonal	Private	Private			"A 652-acre private fee-access hunting preserve in Paulding County, Ohio, on County Road 60 in Grover Hill. Opened in 1996 by Brad Dysinger. Features wetlands, brush piles, oxbows, woods, and food plots maintained for hunting. Pheasant hunting operation. Season runs October 1 through March 15 (closed Christmas and Ohio deer gun week)."	"County Road 60, Grover Hill, Paulding County, Ohio"	652	Paulding	Grover Hill	Latty	41.0177	-84.4784	86HQ2G9C+3J	Wetland; Hunting Area	Private hunting preserve with fee-based seasonal access (Oct 1 – Mar 15). Significant Black Swamp remnant habitat.	https://thornbottom.com/			2026-04-08T23:08:46Z	2026-04-08T23:08:46Z
Lake Wayne R. Carr Wildlife Area	Wildlife Area	State Wildlife Area	State Wildlife Area	Active	State of Ohio	ODNR Division of Wildlife			Lake Wayne R. Carr Wildlife Area is an ODNR Division of Wildlife managed area in Paulding County, Ohio. The area centers on a small lake (Wayne R. Carr Lake) and provides public hunting and fishing access. Watercraft permitted at idle speed only — no wake allowed on the lake. Area covers approximately 18 acres.	Paulding County, Ohio	18.34	Paulding	Harrison	Harrison	41.1580269	-84.7863068	86HQ5657+6F	Fishing Area; Hunting Area; Watercraft Access	Powercraft restricted to idle speed on Wayne R. Carr Lake per Ohio Admin Code Rule 1501:31-5-02.	https://wildlife.ohiodnr.gov/			2026-05-22T20:00:21Z	2026-05-22T20:00:21Z
Guilda H. Culler Memorial Park	Park	Greenspace		Under Development	Paulding County Park District	Paulding County Park District			Guilda H. Culler Memorial Park is a developing Paulding County Park District park on land donated by Gary and Linda Mabis. Named in memory of Guilda H. Culler. In early development stages.	Paulding County, Ohio		Paulding	Crane	Crane	41.2159711	-84.6269824	86HQ698F+96		GPS approximate (Crane Township centroid; no address on file as of 2026-04-07). Under development.	https://pauldingohparks.com/			2026-05-22T20:00:21Z	2026-05-22T20:00:21Z
Flat Rock Creek Nature Preserve	Nature Preserve	Private Nature Preserve		No Public Entry	ACRES Land Trust	ACRES Land Trust			A nature preserve owned and managed by ACRES Land Trust in Paulding County, Ohio, approximately 4 miles east of Payne. Features upland and floodplain forests along Flat Rock Creek. Closed to public access per ACRES Land Trust closed preserves list.	Approximately 4 miles east of Payne, Ohio, Paulding County		Paulding	Paulding	Paulding	41.1077358	-84.6586975	86HQ485R+3G	Floodplain Forest; Upland Forest	CLOSED to public access (ACRES closed preserves list). No public trails or visitation.	https://acreslandtrust.org/closedpreserve/closed-flat-rock-creek/			2026-05-22T20:00:21Z	2026-05-22T20:00:21Z
